feature,importance_gain_mean,importance_gain_std,selected_in_n_folds
cos_elem_2633,0.80831218957901,1.61662437915802,1
cos_elem_2669,0.8073862135410309,1.6147724270820618,1
euc_elem_1706,0.8067800045013428,1.6135600090026858,1
euc_elem_1813,0.8067341983318329,1.6134683966636658,1
euc_elem_2261,0.8006067931652069,1.6012135863304136,1
euc_elem_2570,0.7997459888458252,1.5994919776916503,1
cos_elem_97,0.7992017909884452,1.5984035819768903,1
euc_elem_2449,0.7989606142044068,1.5979212284088136,1
euc_elem_346,0.7943126201629639,1.5886252403259278,1
cos_elem_3228,0.7943113714456558,1.5886227428913116,1
cos_elem_1690,0.7936359941959381,1.587271988391876,1
euc_elem_3325,0.7931888073682785,1.586377614736557,1
cos_elem_1875,0.7921580314636231,1.5843160629272461,1
cos_elem_3039,0.7919834136962891,1.5839668273925782,1
euc_elem_2909,0.7899331897497177,1.5798663794994354,1
euc_elem_2446,0.7877691119909287,1.5755382239818574,1
cos_elem_448,0.786258015036583,1.572516030073166,1
cos_elem_504,0.7861030504107476,1.5722061008214951,1
euc_elem_242,0.7849520206451416,1.5699040412902832,1
euc_elem_2738,0.7849421918392181,1.5698843836784362,1
cos_elem_1977,0.7838249951601028,1.5676499903202057,1
euc_elem_2591,0.7820236086845398,1.5640472173690796,1
cos_elem_842,0.7803694009780884,1.5607388019561768,1
euc_elem_170,0.7785028100013733,1.5570056200027467,1
cos_elem_1339,0.7775473833084107,1.5550947666168213,1
cos_elem_681,0.7760647833347321,1.5521295666694641,1
cos_elem_885,0.7748119980096817,1.5496239960193634,1
euc_elem_563,0.7742042958736419,1.5484085917472838,1
euc_elem_128,0.7739089727401733,1.5478179454803467,1
euc_elem_3152,0.7724057912826539,1.5448115825653077,1
euc_elem_3273,0.7682933807373047,1.5365867614746094,2
euc_elem_3272,0.7667525857686996,1.5335051715373993,1
cos_elem_245,0.7651139974594117,1.5302279949188233,1
cos_elem_3101,0.7622420072555542,1.5244840145111085,1
euc_elem_3230,0.7614567816257477,1.5229135632514954,1
cos_elem_679,0.7608941912651062,1.5217883825302123,1
cos_elem_2367,0.7544460296630859,1.5088920593261719,1
euc_elem_224,0.7538866102695465,1.5077732205390928,1
cos_elem_1632,0.7525500059127808,1.1188819716554241,2
euc_elem_1411,0.7487204074859619,1.4974408149719238,1
cos_elem_222,0.7474461972713471,1.4948923945426942,1
euc_elem_252,0.7467281274497509,1.493456254899502,1
cos_elem_2900,0.7450334012508393,1.4900668025016786,1
cos_elem_1253,0.743243420124054,1.4864868402481077,1
euc_elem_3222,0.7414080023765564,1.4828160047531127,1
euc_elem_2502,0.7409700095653534,1.4819400191307066,1
cos_elem_614,0.7406480073928833,1.4812960147857666,1
cos_elem_1786,0.738866800069809,1.477733600139618,1
cos_elem_1715,0.7351920127868652,1.4703840255737304,1
cos_elem_961,0.7347959756851197,1.4695919513702393,1
euc_elem_1638,0.7340064108371734,1.4680128216743469,1
cos_elem_538,0.7338210105895996,1.4676420211791992,1
cos_elem_1837,0.7312047958374024,1.4624095916748046,1
cos_elem_559,0.7304573893547058,1.4609147787094117,1
cos_elem_1189,0.7301140069961548,1.4602280139923096,1
euc_elem_1688,0.7300054013729096,1.4600108027458194,1
cos_elem_2793,0.7296248078346252,1.4592496156692505,1
cos_elem_1191,0.7294939994812012,1.4589879989624024,1
cos_elem_1707,0.7293022364377976,1.4586044728755951,1
cos_elem_297,0.7280512124300003,1.4561024248600005,1
cos_elem_646,0.7278486013412475,1.4556972026824948,1
euc_elem_451,0.7277760028839111,1.4555520057678222,1
cos_elem_2943,0.726597011089325,1.45319402217865,1
euc_elem_3314,0.7244860172271729,1.4489720344543457,1
cos_elem_1484,0.7228779792785645,0.9311780922659451,2
cos_elem_331,0.7222982048988342,1.4445964097976685,1
cos_elem_3135,0.7211081862449646,1.4422163724899293,1
euc_elem_1502,0.7185964018106461,1.437192803621292,1
cos_elem_1489,0.7179260015487671,1.4358520030975341,1
euc_elem_1607,0.7174560070037842,1.4349120140075686,1
euc_elem_3070,0.7172800064086914,1.4345600128173828,1
euc_elem_58,0.7134665966033935,1.4269331932067868,1
euc_elem_720,0.7121621966362,1.4243243932724,1
euc_elem_2624,0.7110981270670891,1.4221962541341782,1
euc_elem_2807,0.7107255935668946,1.4214511871337887,1
euc_elem_1030,0.7091431856155396,1.4182863712310791,1
cos_elem_1255,0.7086780220270157,1.4173560440540314,1
euc_elem_2138,0.707602608203888,1.4152052164077755,1
euc_elem_186,0.7070938169956207,1.4141876339912414,1
cos_elem_2803,0.7068194031715394,1.4136388063430787,1
cos_elem_2453,0.7027502179145813,1.4055004358291625,1
euc_elem_2634,0.6911936044692993,1.382387208938599,1
cos_elem_1866,0.691183602809906,1.382367205619812,1
cos_elem_1345,0.6900622010231018,1.3801244020462038,1
euc_elem_587,0.6887840032577515,1.377568006515503,1
euc_elem_981,0.6864765882492065,1.372953176498413,1
cos_elem_23,0.6860976159572602,0.8543920025882312,2
euc_elem_2698,0.6832756042480469,1.366551208496094,1
euc_elem_1352,0.6818067967891693,1.3636135935783387,1
euc_elem_1491,0.6808955907821655,1.3617911815643313,1
cos_elem_1699,0.6807325959205628,1.3614651918411256,1
euc_elem_859,0.6782809913158416,1.3565619826316833,1
euc_elem_1027,0.6778138041496277,1.3556276082992553,1
cos_elem_230,0.677292013168335,0.8582009328455567,2
euc_elem_1358,0.6759799718856812,1.3519599437713623,1
cos_elem_2691,0.6759333848953247,1.3518667697906495,1
cos_elem_2321,0.6715946167707443,1.3431892335414886,1
cos_elem_475,0.6711913824081421,1.3423827648162843,1
euc_elem_1044,0.6703999757766723,1.3407999515533446,1
euc_elem_2964,0.6691301941871644,1.3382603883743287,1
euc_elem_2234,0.6690372049808502,1.3380744099617006,1
euc_elem_84,0.6672423720359802,1.3344847440719605,1
cos_elem_1468,0.6669758021831512,1.3339516043663024,1
cos_elem_2185,0.6634337961673736,1.3268675923347473,1
cos_elem_837,0.662186598777771,1.324373197555542,1
cos_elem_2484,0.6615982055664062,1.3231964111328125,1
cos_elem_37,0.661355608701706,1.3227112174034117,1
euc_elem_1353,0.6585759878158569,0.8246062753354119,2
cos_elem_2501,0.6582788050174713,1.3165576100349425,1
euc_elem_2415,0.6561774134635925,1.312354826927185,1
cos_elem_565,0.6557300090789795,1.311460018157959,1
cos_elem_2085,0.6551959991455079,1.3103919982910157,1
euc_elem_209,0.6546369910240173,1.3092739820480346,1
euc_elem_1644,0.6519366145133972,1.3038732290267945,1
euc_elem_175,0.6502646207809448,1.3005292415618896,1
euc_elem_3266,0.6440652012825012,1.2881304025650024,1
euc_elem_2134,0.6414745867252349,1.2829491734504699,1
cos_elem_3312,0.6412753939628602,1.2825507879257203,1
cos_elem_137,0.6402866125106812,1.2805732250213624,1
cos_elem_2608,0.6386635929346085,1.277327185869217,1
euc_elem_1653,0.6372530102729798,1.2745060205459595,1
euc_elem_960,0.6346959888935089,1.269391977787018,1
cos_elem_874,0.6346515953540802,1.2693031907081604,1
cos_elem_3275,0.6331414043903351,1.2662828087806701,1
cos_elem_2808,0.6329385995864868,1.2658771991729736,1
cos_elem_2430,0.6307058095932007,1.2614116191864013,1
cos_elem_1235,0.6291037917137146,1.258207583427429,1
euc_elem_684,0.6289139986038208,1.2578279972076416,1
euc_elem_3224,0.6283107995986938,1.2566215991973877,1
euc_elem_1191,0.6259803980588913,0.8653273726558591,2
euc_elem_1343,0.6235900163650513,1.2471800327301026,1
euc_elem_739,0.6201655983924865,1.240331196784973,1
euc_elem_236,0.6191933751106262,1.2383867502212524,1
cos_elem_82,0.6188742041587829,1.2377484083175658,1
euc_elem_664,0.6167134165763855,1.233426833152771,1
euc_elem_1402,0.6162790060043335,1.232558012008667,1
cos_elem_1110,0.6147560119628906,0.7862088794232455,2
euc_elem_1295,0.6141752064228058,0.7890528801343714,2
euc_elem_1143,0.6117340087890625,1.223468017578125,1
euc_elem_27,0.6083418041467666,1.2166836082935333,1
