feature,importance_split,importance_gain,importance_gain_norm,selected_in_n_folds
cos_elem_844,8.0,10.023415923118591,0.00013839883380072974,1
euc_elem_580,10.0,10.015553951263428,0.0001382902792176939,1
cos_elem_983,6.25,10.014891773462296,0.0001382811361634549,4
cos_elem_3019,2.0,10.013480126857758,0.00013826164477994795,1
euc_elem_207,8.0,10.008853137493134,0.00013819775738497362,1
cos_elem_1414,8.0,10.004372954368591,0.0001381358970247525,1
cos_elem_1776,4.0,10.003894925117493,0.00013812929661114278,2
euc_elem_3081,7.0,9.998565211892128,0.0001380557063201142,1
euc_elem_2163,11.0,9.996821135282516,0.00013803162489211792,1
euc_elem_1122,6.0,9.99074912816286,0.00013794778533975018,2
cos_elem_751,5.0,9.990507960319519,0.0001379444554022793,1
cos_elem_905,10.0,9.984852522611618,0.0001378663676536106,2
cos_elem_1126,5.5,9.981260597705841,0.00013781677196468854,2
cos_elem_782,6.0,9.976413995027542,0.00013774985224752656,2
cos_elem_1343,6.5,9.97020748257637,0.00013766415550583685,2
cos_elem_1684,8.0,9.96148405969143,0.00013754370639315044,2
cos_elem_1954,10.0,9.950105011463165,0.0001373865895961789,1
euc_elem_273,7.25,9.946811180561781,0.00013734110985564086,4
cos_elem_2097,7.0,9.946730077266693,0.000137339990017699,1
euc_elem_395,6.0,9.94567965467771,0.0001373254862534705,3
euc_elem_1140,7.0,9.93685583025217,0.0001372036508413192,4
euc_elem_2702,7.5,9.935282424092293,0.00013718192595438522,2
euc_elem_696,8.0,9.935117095708847,0.0001371796431741795,1
euc_elem_1498,9.0,9.93006083369255,0.0001371098285748639,1
